Quote,Author,Book,Tags
"“With respect to Stoicism, Hadot has described four features that constitute the universal Stoic attitude. They are, first, the Stoic consciousness of ""the fact that no being is alone, but that we make up part of a Whole, constituted by the totality of human beings as well as by the totality of the cosmos""; second, the Stoic ""feels absolutely serene, free, and invulnerable to the extent that he has become aware that there is no other evil but moral evil and that the only thing that counts is the purity of moral consciousness""; third, the Stoic ""believes in the absolute value of the human person,"" a belief that is ""at the origin of the modern notion of the 'rights of man'""; finally, the Stoic exercises his concentration ""on the present instant, which consists, on the one hand, in living as if we were seeing the world for the first and for the last time, and, on the other hand, in being conscious that, in this lived presence of the instant, we have access to the totality of time and of the world."" 17 Thus, for Hadot, cosmic consciousness, the purity of moral consciousness, the recognition of the equality and absolute value of human beings, and the concentration on the present instant represent the universal Stoic attitude. The universal Epicurean attitude essentially consists, by way of ""a certain discipline and reduction of desires, in returning from pleasures mixed with pain and suffering to the simple and pure pleasure of existing.”","Pierre Hadot,",Philosophy as a Way of Life: Spiritual Exercises from Socrates to Foucault,"page-34, stoicism"
"“Wir müssen uns weigern, die Karten, die uns ausgeteilt wurden, über unser Wohlbefinden entscheiden zu lassen.”","Jonas Salzgeber,","The Little Book of Stoicism: Timeless Wisdom to Gain Resilience, Confidence, and Calmness",stoicism
“But there can be no such good except as the soul discovers it for itself within itself.”,"Lucius Seneca,",Letters From A Stoic: A Comprehensive Guide to Seneca’s Philosophical Insights including Practical Exercises and Insights for Modern Readers,"philosophy, stoicism"
"“Virtue alone affords everlasting and peace-giving joy; even if some obstacle arise, it is but like an intervening cloud, which floats beneath the sun but never prevails against it.”","Lucius Seneca,",Letters from a Stoic: Modern English Edition,"philosophy, stoicism"
"“Nothing great is produced suddenly, since not even the grape or fig is. If you say to me now that you want a fig, I will answer you that it requires time: let it flower first, then put forth fruit, and then ripen. Is then the fruit of or a fig-tree not perfected suddenly and in one hour, and would you possess the fruit of a man's mind in so short a time and so easily? Do not expect it, even if I tell you”","Epictetus,",Discourses of Epictetus with the Encheiridion and Fragments,"philosophy, stoicism"
"“Nothing great is produced suddenly, since not even the grape or the fig is. If you say to me now that you want a fig, I will answer to you that it requires time: let it flower first, then put forth fruit, and then ripen. Is then the fruit of a fig-tree not perfected suddenly and in one hour, and would you possess the fruit of a man's mind in so short a time and so easily? Do not expect it, even if I tell you.”","Epictetus,",Discourses of Epictetus with the Encheiridion and Fragments,"philosophy, stoicism"
"“Ought not then this robber and this adulterer to be destroyed? By no means say so, but speak rather this way: This man who has been mistaken and deceived about the most important things, and blinded, not in the faculty of vision which distinguishes white and black, but in the faculty which distinguishes good and bad, should we destroy him? If you speak thus you will see how inhuman this is which you say, and that it is just as if you would say, Ought we not destroy this blind and deaf man?”","Epictetus,",Discourses of Epictetus with the Encheiridion and Fragments,"philosophy, stoicism"
"“Therefore we ought to exercise ourselves in small things, and beginning with them to proceed to the greater.”",Epictetus,N/A,stoicism
"“For the military community, philosophy isn't something casually debated. But something that should be fully embodied in everyday thought and action, with the abandonment of all principles not shown practical in the most extreme of environments.”","Franklin C. Annis,",Controversial History & Educational Theories of Captain Alden Partridge,"military, philosophy, stoic, stoicism"
"“Before concluding the discussion on Partridge’s connection to the Stoic tradition, I present what is probably the greatest proof Partridge was a Stoic: he suffered the public doom of one. Ironically, Partridge may have missed a powerful warning about his own fate within one of the key texts he used in his academies. A footnote within William Duncan’s translation of Cicero’s orations recalls the ill fortune of Quintus Aelius Tubero in the eyes of the people of Rome caused by his Stoic behavior at the funeral of Scipio Africanus: ""[It was the same from the study of Tubero] Cicero here ridicules the doctrine of the Stoics, shows the absurdities into which it may betray a man and paints the ill consequences that often arise from it. [Quintus Aelius] Tubero, of whom he speaks here had professed himself a Stoic and resolved to regulate his conduct by the tenets of that sect. Accordingly, in an entertainment he gave the Roman people on occasion of the death of the great Scipio Africanus he made use of plain wooden beds, goat skin covers, and earthen dishes. But this ill-timed parsimony was so displeasing to the Roman people that when he afterwards stood for the prætorship they refused him their suffrages though a man of illustrious birth and the most distinguished virtue."" Is there a passage more fitting for the legacy of Partridge and his Stoic behavior? Even when Partridge had built an ideal model for educating a complete virtue-driven citizen worthy of the Republic, few would find the lifestyle required appealing. Being a virtuous man with a sufficient plan for American education was not enough to guarantee his acceptance among the masses.”","Franklin C. Annis,",Controversial History & Educational Theories of Captain Alden Partridge,"alden-partridge, education, educational-philosophy, norwich-university, stoic, stoicism"
"“These deep interactions with Greek and Roman culture, to include Stoic philosophy, certainly affected the zeitgeist of the era and most certainly impacted the educational theories in the early days of the Republic. With so much interest in reviving and adopting elements of Stoic philosophy within America, many intended references to Stoic ethics may be hidden within the works of the early generations of America, as they explicitly referenced “American” ideals that would have incorporated Stoic philosophy.”","Franklin C. Annis,",Controversial History & Educational Theories of Captain Alden Partridge,"american-history, founding-fathers, stoicism"
“All roads to Hades are of equal length”,Epictetus,N/A,"death, stoicism"
“Nothing happens to any creature beyond it’s own natural endurance.”,"Marcus Aurelius,",Meditations,"endurance, philosophy, resilience, stoicism, strength"
